codigo_cliente,ultima_compra_civil,dias_civis_sem_compra
CLI-00002831,2025-09-28,94
CLI-00003030,2025-09-28,94
CLI-00003118,2025-09-28,94
CLI-00003260,2025-09-28,94
CLI-00003389,2025-09-28,94
CLI-00000369,2025-10-01,91
CLI-00001190,2025-10-01,91
CLI-00001512,2025-10-01,91
CLI-00001896,2025-10-01,91
CLI-00002286,2025-10-01,91
CLI-00002636,2025-10-01,91
CLI-00002854,2025-10-01,91
CLI-00002977,2025-10-01,91
CLI-00003292,2025-10-01,91
CLI-00001606,2025-10-02,90
CLI-00002212,2025-10-02,90
CLI-00002292,2025-10-02,90
CLI-00002476,2025-10-02,90
CLI-00002514,2025-10-02,90
CLI-00002817,2025-10-02,90
CLI-00003361,2025-10-02,90
CLI-00003518,2025-10-02,90
